longitude,latitude
-86.7173,33.5658
-86.8051,33.5232
-86.680241,33.6191
-86.867949,33.484021
-86.8649,33.516
-86.771079,33.532064
-86.87471,33.428598
-86.870736,33.474401
-86.7706,33.8814
-86.3971,33.8879
-86.586,34.0847
-86.5736,33.9932
-86.7694,33.8834
-86.7681,33.8869
-86.5888,34.0858
-86.6179,33.9084
-86.58307,33.830801
-86.4303,34.0828
-86.512602,33.905533
-86.57256,33.992944
-86.561712,33.991488
-86.6185,33.9073
-86.5729,33.9934
-86.4298,34.0832
-86.7566,33.8901
-87.069631,31.119471
-87.058574,31.154287
-87.0704,31.1382
-85.722772,32.129773
-85.720119,32.132765
-85.719487,32.145793
-85.712739,32.142862
-86.6519,31.8371
-86.6253,31.8381
-86.715153,31.545343
-86.625756,31.833257
-86.626541,31.815009
-86.6256,31.8342
-86.728948,31.628096
-85.887066,33.775146
-86.0014,33.786
-85.8321,33.7018
-85.8367,33.7022
-85.8342,33.7012
-85.8146,33.7546
-85.8309,33.7471
-85.8795,33.6513
-85.686986,33.747043
-85.758243,33.801928
-85.757907,33.801672
-86.003,33.7883
-85.810914,33.885623
-85.673191,33.723612
-85.816324,33.885484
-85.882,33.6525
-85.883616,33.775731
-85.671905,33.723721
-85.887046,33.773637
-85.3944,32.898
-85.1872,32.7912
-85.34369,33.017341
-85.2287,32.8345
-85.3965,32.8994
-85.171962,32.813447
-85.185,32.84
-85.396133,32.888437
-85.1815,32.8022
-85.1964,32.8064
-85.381482,32.890312
-85.381482,32.890312
-85.6045,34.2198
-85.669399,34.149993
-85.651107,34.135634
-85.6587,34.1638
-85.56,34.2711
-85.7674,34.241
-85.542865,33.985365
-85.6865,34.1597
-86.7856,32.8287
-86.7483,32.9655
-86.8784,32.8031
-86.7163,32.9136
-86.6145,32.8248
-86.6132,32.8262
-86.5088,32.749
-86.747493,32.964356
-86.6736,32.8321
-86.613169,32.826424
-86.6127,32.8219
-86.7295,32.9823
-86.623103,32.840903
-86.7296,32.984464
-88.3159,31.8421
-88.2332,32.0798
-88.3193,31.8429
-88.2336,32.0819
-87.77412,31.705821
-87.791617,31.709137
-87.8947,31.5129
-87.895748,31.529378
-87.764353,31.703243
-87.8966,31.5307
-87.8851,31.5482
-85.839114,33.270504
-85.757743,33.310973
-85.787937,33.290823
-85.787937,33.290823
-85.571808,33.647308
-85.571924,33.648138
-85.436415,33.732187
-85.63505,33.523462
-85.346519,33.523373
-85.482177,33.597278
-85.572406,33.646971
-85.347288,33.523791
-85.482177,33.597278
-86.169864,31.221294
-86.010259,31.566525
-85.935457,31.380382
-85.921987,31.390294
-87.9639,34.7695
-87.9633,34.7657
-87.5244,34.6955
-87.700833,34.669434
-87.4844,34.7573
-87.5234,34.6978
-87.7805,34.6432
-87.702521,34.667372
-87.0313,31.2972
-86.9727,31.4268
-86.987452,31.541683
-86.9515,31.4233
-87.2345,31.4115
